Sr,STYLE,SEASON,CATEGORY,COLOUR,SKU,SIZE,QTY
1,B0261,FW25,HANDBAG,BLACK,10486810,O/S,0
2,B0305,FW25,HANDBAG,BLACK,10486830,O/S,0
3,B0305,FW25,HANDBAG,CAMEL,10486820,O/S,0
4,B0314,FW25,HANDBAG,BLACK,10486800,O/S,0
5,B0317,FW25,HANDBAG,BLACK,10486790,O/S,0
6,C0004,FW25,NECKWEAR,MILITARY,10486850,O/S,0
7,C0025,FW25,NECKWEAR,BLACK,10486860,O/S,0
8,C0025,FW25,NECKWEAR,CAMEL,10486870,O/S,0
9,C0025,FW25,NECKWEAR,NAVY,10486880,O/S,1
10,C1407,FW25,HAT,BLACK,10487140,O/S,0
11,C1407,FW25,HAT,MILITARY,10486600,O/S,2
12,CA049,FW25,HAT,COFFEE,10486560,O/S,0
13,CA066,FW25,HAT,COFFEE,10486550,O/S,0
14,CA1402,FW25,HAT,BLACK,10486640,O/S,1
15,CA1402,FW25,HAT,TAUPE,10486630,O/S,0
16,CA1416,FW25,HAT,BLACK,10486620,O/S,2
17,CA1416,FW25,HAT,TAUPE,10486610,O/S,1
18,CD1830,FW25,CARDIGAN,BLACK,10486900,O/S,0
19,CD1841,FW25,CARDIGAN,BLACK,10486910,O/S,0
20,CT1026,FW25,BELT,BLACK,10486760,O/S,0
21,CT1101,FW25,BELT,BLACK,10486770,O/S,0
22,CT1107,FW25,BELT,CREAM,10486780,O/S,0
23,GA013,FW25,JACKET,BLACK,10486650,XXS,0
24,GA013,FW25,JACKET,BLACK,10486651,XS,0
25,GA013,FW25,JACKET,BLACK,10486652,S,0
26,GA013,FW25,JACKET,BLACK,10486653,M,0
27,GA013,FW25,JACKET,BLACK,10486654,L,0
28,GA013,FW25,JACKET,BLACK,10486655,XL,0
29,GA013,FW25,JACKET,BLACK,10486656,2XL,0
30,GA013,FW25,JACKET,BLACK,10486657,3XL,0
31,GA039,FW25,JACKET,TAUPE,10486930,XXS,0
32,GA039,FW25,JACKET,TAUPE,10486931,XS,0
33,GA039,FW25,JACKET,TAUPE,10486932,S,0
34,GA039,FW25,JACKET,TAUPE,10486933,M,1
35,GA039,FW25,JACKET,TAUPE,10486934,L,0
36,GA039,FW25,JACKET,TAUPE,10486935,XL,0
37,GA039,FW25,JACKET,TAUPE,10486936,2XL,0
38,GA039,FW25,JACKET,TAUPE,10486937,3XL,0
39,GA0391B,FW25,JACKET,COFFEE,10492970,O/S,0
40,GA120,FW25,JACKET,BROWN/BLACK,10486570,XXS,0
41,GA120,FW25,JACKET,BROWN/BLACK,10486571,XS,0
42,GA120,FW25,JACKET,BROWN/BLACK,10486572,S,0
43,GA120,FW25,JACKET,BROWN/BLACK,10486573,M,0
44,GA120,FW25,JACKET,BROWN/BLACK,10486574,L,0
45,GA120,FW25,JACKET,BROWN/BLACK,10486575,XL,0
46,GA120,FW25,JACKET,BROWN/BLACK,10486576,2XL,0
47,GA120,FW25,JACKET,BROWN/BLACK,10486577,3XL,0
48,GA196H,FW25,JACKET,COFFEE,10492980,O/S,1
49,GE059,FW25,GILET,COFFEE/BLACK,10486840,O/S,0
50,GE1827,FW25,GILET,BLACK,10486890,O/S,0
51,S2014,FW25,SCARF,BLACK/BEIGE,10486590,O/S,0
52,S2014,FW25,SCARF,BROWN/BEIGE,10486580,O/S,0
53,SL063,FW25,SHAWL,COFFEE/BLACK,10486920,O/S,0
54,SL1400,FW25,SHAWL,BLACK,10486670,O/S,0
55,SL1400,FW25,SHAWL,NAVY,10486660,O/S,0
56,SP016,FW25,SCARF,BLACK/WHITE,10486710,O/S,0
57,SP053,FW25,SCARF,COFFEE,10486540,O/S,0
58,SP1200,FW25,SCARF,BLACK/BEIGE,10486680,O/S,0
59,SP1221,FW25,SCARF,TAUPE/BLACK,10486750,O/S,0
60,SP1222,FW25,SCARF,BROWN/BLACK,10486730,O/S,0
61,SP1223,FW25,SCARF,BLACK/WHITE,10486700,O/S,0
62,SP1225,FW25,SCARF,CAMEL,10486740,O/S,0
63,SP1303,FW25,SCARF,BLACK/CREAM,10486690,O/S,0
64,SP1308,FW25,SCARF,BLACK,10486720,O/S,0
65,SPA300,FW25,SCARF,BLUE,10493000,O/S,0
66,SPA300,FW25,SCARF,COFFEE,10492990,O/S,1
67,610,FW25,HANDBAG,TAN,10445380,O/S,0
68,4639,FW25,HANDBAG,TAN,10445390,O/S,0
69,4818,FW25,HANDBAG,BROWN,10445290,O/S,0
70,4818,FW25,HANDBAG,MOKA,10445300,O/S,0
71,4818,FW25,HANDBAG,RED,10454050,O/S,0
72,4982,FW25,HANDBAG,TAN,10445320,O/S,0
73,5138,FW25,HANDBAG,BEIGE,10445260,O/S,0
74,BS3353,FW25,HANDBAG,BROWN,10457820,O/S,0
75,BS4765,FW25,HANDBAG,CHOCOLATE,10454040,O/S,0
76,BS5679,FW25,HANDBAG,CHOCOLATE,10486390,O/S,0
77,BS5827,FW25,HANDBAG,BLACK,10493440,O/S,0
78,BS5827,FW25,HANDBAG,CAMEL,10487890,O/S,0
79,CT0364,FW25,BELT,BLACK,10486400,O/S,1
80,CT0364,FW25,BELT,BROWN,10486240,O/S,0
81,CT0385,FW25,BELT,CAMEL,10486270,O/S,0
82,CT0388,FW25,BELT,BLACK,10486440,O/S,0
83,CT0388,FW25,BELT,BROWN,10486280,O/S,1
84,CT0396,FW25,BELT,BLACK,10486290,O/S,1
85,CT0396,FW25,BELT,BURGUNDY,10486450,O/S,0
86,CT0406,FW25,BELT,BLACK,10486410,O/S,0
87,CT0406,FW25,BELT,BROWN,10486250,O/S,0
88,CT0414,FW25,BELT,BROWN,10486300,O/S,0
89,CT0414,FW25,BELT,BURGUNDY,10486470,O/S,0
90,CT0414,FW25,BELT,TAN,10486460,O/S,0
91,CT0415,FW25,BELT,BLACK,10486430,O/S,0
92,CT0415,FW25,BELT,BROWN,10486420,O/S,0
93,CT0415,FW25,BELT,CAMEL,10486260,O/S,1
94,CT0447,FW25,BELT,BLACK,10486360,O/S,0
95,CT0447,FW25,BELT,BROWN,10486530,O/S,1
96,CT0447,FW25,BELT,TAN,10486520,O/S,0
97,CT0448,FW25,BELT,TAUPE,10486320,O/S,0
98,CT0453,FW25,BELT,BROWN,10486500,O/S,1
99,CT0453,FW25,BELT,CAMEL,10486340,O/S,0
100,CT0453,FW25,BELT,TAUPE,10486490,O/S,0
101,CT0465,FW25,BELT,LEOPARD,10486330,O/S,1
102,CT0473,FW25,BELT,BROWN,10486350,O/S,1
103,CT0473,FW25,BELT,MULTI,10486510,O/S,0
104,CT0476,FW25,BELT,CAMEL,10486310,O/S,0
105,CT0476,FW25,BELT,TAN,10486480,O/S,0
106,2801,FW25,SHOES,BROWN,10493400,32,0
107,2801,FW25,SHOES,BROWN,10493401,36,0
108,2801,FW25,SHOES,BROWN,10493402,37,0
109,2801,FW25,SHOES,BROWN,10493403,38,0
110,2801,FW25,SHOES,BROWN,10493404,39,0
111,2801,FW25,SHOES,BROWN,10493405,40,0
112,9555,FW25,SHOES,BURGUNDY,10493390,38,0
113,9555,FW25,SHOES,BURGUNDY,10493391,40,0
114,9555,FW25,SHOES,BURGUNDY,10493392,42,0
115,9555,FW25,SHOES,BURGUNDY,10493393,44,0
116,9555,FW25,SHOES,BURGUNDY,10493394,46,0
117,9555,FW25,SHOES,BURGUNDY,10493395,48,0
118,9555,FW25,SHOES,BURGUNDY,10493396,50,0
119,9555,FW25,SHOES,BURGUNDY,10493397,52,0
120,9555,FW25,SHOES,BURGUNDY,10493398,54,0
121,DSG523,FW25,JACKET,BLACK,10439740,38,0
122,DSG523,FW25,JACKET,BLACK,10439741,40,0
123,DSG523,FW25,JACKET,BLACK,10439742,42,0
124,DSG523,FW25,JACKET,BLACK,10439743,44,0
125,DSG523,FW25,JACKET,BLACK,10439744,46,0
126,DSG523,FW25,JACKET,BLACK,10439745,48,0
127,DSG523,FW25,JACKET,BLACK,10439746,50,0
128,DSG523,FW25,JACKET,BLACK,10439747,52,0
129,DSG523,FW25,JACKET,BLACK,10439748,54,0
130,DSG528,FW25,JACKET,BLACK,10436830,38,0
131,DSG528,FW25,JACKET,BLACK,10436831,40,0
132,DSG528,FW25,JACKET,BLACK,10436832,42,0
133,DSG528,FW25,JACKET,BLACK,10436833,44,0
134,DSG528,FW25,JACKET,BLACK,10436834,46,0
135,DSG528,FW25,JACKET,BLACK,10436835,48,0
136,DSG528,FW25,JACKET,BLACK,10436836,50,0
137,DSG528,FW25,JACKET,BLACK,10436837,52,0
138,DSG528,FW25,JACKET,BLACK,10436838,54,0
139,E00215,FW25,COAT,BLACK,10496720,38,0
140,E00215,FW25,COAT,BLACK,10496721,40,0
141,E00215,FW25,COAT,BLACK,10496722,42,0
142,E00215,FW25,COAT,BLACK,10496723,44,0
143,E00215,FW25,COAT,BLACK,10496724,46,0
144,E00215,FW25,COAT,BLACK,10496725,48,0
145,E00215,FW25,COAT,BLACK,10496726,50,0
146,E00215,FW25,COAT,BLACK,10496727,52,0
147,E00215,FW25,COAT,BLACK,10496728,54,0
148,E00215,FW25,COAT,BROWN,10483590,38,0
149,E00215,FW25,COAT,BROWN,10483591,40,0
150,E00215,FW25,COAT,BROWN,10483592,42,0
151,E00215,FW25,COAT,BROWN,10483593,44,0
152,E00215,FW25,COAT,BROWN,10483594,46,0
153,E00215,FW25,COAT,BROWN,10483595,48,0
154,E00215,FW25,COAT,BROWN,10483596,50,0
155,E00215,FW25,COAT,BROWN,10483597,52,0
