Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Unit Price Base Measure Unit,Variant Barcode
,,"IMP, new-429622, SALE",FALSE,SIZE,7XL,,COLOUR,BLUE,,,,,M68885A453new7,0,,M68885A453BAR3
,,"merged-430106, new-430106, SALE",FALSE,4s,XXS,,BLACK,BLACK,,,,,M68885A453new3,0,,M68885A453BAR3
,,,,,XS,,,BLACK,,,,,M68885A453new3,0,,M68885A453BAR3
,,,,,S,,,BLACK,,,,,M68885A453new3,0,,M68885A453BAR3
,,,,,M,,,BLACK,,,,,M68885A453new3,0,,M68885A453BAR3
,,,,,L,,,BLACK,,,,,M68885A453new3,0,,M68885A453BAR3
,,,,,XL,,,BLACK,,,,,M68885A453new3,0,,M68885A453BAR3
,,,,,2XL,,,BLACK,,,,,M68885A453new3,0,,M68885A453BAR3
,,,,,3XL,,,BLACK,,,,,M68885A453new3,0,,M68885A453BAR3
,,,,,4s,,,BLACK,,,,,M68885A453new1,0,,M68885A453BAR3
,,,,,4XL,,,BLUE,,,,,M68885A453new2,0,,M68885A453BAR3
,,,,,5XL,,,BLUE,,,,,M68885A453new4,0,,M68885A453BAR3
,,,,,6XL,,,BLUE,,,,,M68885A453new5,0,,M68885A453BAR3
Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,COAT,"50OFF, ACTIVE, ALL CLOTHING, COAT, COATS & JACKETS, FW25, IN STOCK, NEW IN, ONLINE, RINA, SALE",TRUE,SIZE,S,,COLOR,CREAM,,,,,122222003,399.9777519,,
,,,,,M,,,CREAM,,,,,122222003,399.9777519,,
,,,,,L,,,CREAM,,,,,122222003,399.9777519,,
,,,,,XL,,,CREAM,,,,,122222003,399.9777519,,
,,,,,S,,,MILITARY,,,,,122222003,399.9777519,,
,,,,,M,,,MILITARY,,,,,122222003,399.9777519,,
,,,,,L,,,MILITARY,,,,,122222003,399.9777519,,
,,,,,XL,,,MILITARY,,,,,122222003,399.9777519,,
Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Overcoats,COAT,"50OFF, ACTIVE, ALL CLOTHING, COAT, COATS & JACKETS, FW25, IN STOCK, NEW IN, ONLINE, RINA, SALE",TRUE,SIZE,S,,COLOR,BEIGE,,,,,122221003,399.9777519,,
,,,,,M,,,BEIGE,,,,,122221003,399.9777519,,
,,,,,L,,,BEIGE,,,,,122221003,399.9777519,,
,,,,,S,,,BROWN,,,,,122221003,399.9777519,,
,,,,,M,,,BROWN,,,,,122221003,399.9777519,,
,,,,,L,,,BROWN,,,,,122221003,399.9777519,,
,,,,,S,,,CHOCOLATE,,,,,122221003,399.9777519,,
,,,,,M,,,CHOCOLATE,,,,,122221003,399.9777519,,
,,,,,L,,,CHOCOLATE,,,,,122221003,399.9777519,,
Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,COAT,"50OFF, ACTIVE, ALL CLOTHING, COAT, COATS & JACKETS, FW25, IN STOCK, NEW IN, ONLINE, RINA, SALE",TRUE,SIZE,S,,COLOR,WHITE,,,,,122217003,399.9777519,,
,,,,,M,,,WHITE,,,,,122217003,399.9777519,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Apparel & Accessories > Clothing > Outerwear > Coats & Jackets > Puffer Jackets,COAT,"50OFF, ACTIVE, ALL CLOTHING, COAT, COATS & JACKETS, FW25, IN STOCK, NEW IN, ONLINE, RINA, SALE",TRUE,SIZE,S,,COLOR,MILITARY,,,,,122159003,399.9777519,,
,,,,,M,,,MILITARY,,,,,122159003,399.9777519,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"IMP, new-429622, SALE",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,M68885A453new,0,,M68885A453BAR
,,,,,XS,,,BLACK,,,,,M68885A453new,0,,M68885A453BAR
,,,,,S,,,BLACK,,,,,M68885A453new,0,,M68885A453BAR
,,,,,M,,,BLACK,,,,,M68885A453new,0,,M68885A453BAR
,,,,,L,,,BLACK,,,,,M68885A453new,0,,M68885A453BAR
,,,,,XL,,,BLACK,,,,,M68885A453new,0,,M68885A453BAR
,,,,,2XL,,,BLACK,,,,,M68885A453new,0,,M68885A453BAR
,,,,,3XL,,,BLACK,,,,,M68885A453new,0,,M68885A453BAR
,,"new-429622, SALE, WENDY",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,241077,0,,
,,"new-429622, SALE, WENDY",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,225215,0,,
,,,,,O/S,,,GREY,,,,,225215,0,,
,,"new-429622, SALE, WENDY",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,223829,0,,
,,"new-429622, SALE, WENDY",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,125112,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,825105,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,BLACK,,,,,824133,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,O/S,,COLOUR,GREY,,,,,791990,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,1,,COLOUR,WHITE/BLUE,,,,,45700,0,,
,,,,,2,,,WHITE/BLUE,,,,,45700,0,,
,,,,,3,,,WHITE/BLUE,,,,,45700,0,,
,,,,,4,,,WHITE/BLUE,,,,,45700,0,,
,,,,,5,,,WHITE/BLUE,,,,,45700,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,45205,0,,
,,,,,XS,,,BLACK,,,,,45205,0,,
,,,,,S,,,BLACK,,,,,45205,0,,
,,,,,M,,,BLACK,,,,,45205,0,,
,,,,,L,,,BLACK,,,,,45205,0,,
,,,,,XL,,,BLACK,,,,,45205,0,,
,,,,,2XL,,,BLACK,,,,,45205,0,,
,,,,,3XL,,,BLACK,,,,,45205,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,45203,0,,
,,,,,XS,,,BLACK,,,,,45203,0,,
,,,,,S,,,BLACK,,,,,45203,0,,
,,,,,M,,,BLACK,,,,,45203,0,,
,,,,,L,,,BLACK,,,,,45203,0,,
,,,,,XL,,,BLACK,,,,,45203,0,,
,,,,,2XL,,,BLACK,,,,,45203,0,,
,,,,,3XL,,,BLACK,,,,,45203,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,45202,0,,
,,,,,XS,,,BLACK,,,,,45202,0,,
,,,,,S,,,BLACK,,,,,45202,0,,
,,,,,M,,,BLACK,,,,,45202,0,,
,,,,,L,,,BLACK,,,,,45202,0,,
,,,,,XL,,,BLACK,,,,,45202,0,,
,,,,,2XL,,,BLACK,,,,,45202,0,,
,,,,,3XL,,,BLACK,,,,,45202,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,45200,0,,
,,,,,XS,,,BLACK,,,,,45200,0,,
,,,,,S,,,BLACK,,,,,45200,0,,
,,,,,M,,,BLACK,,,,,45200,0,,
,,,,,L,,,BLACK,,,,,45200,0,,
,,,,,XL,,,BLACK,,,,,45200,0,,
,,,,,2XL,,,BLACK,,,,,45200,0,,
,,,,,3XL,,,BLACK,,,,,45200,0,,
,,"new-429622, SALE, VAL",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,45014,0,,
,,,,,XS,,,BLACK,,,,,45014,0,,
,,,,,S,,,BLACK,,,,,45014,0,,
,,,,,M,,,BLACK,,,,,45014,0,,
,,,,,L,,,BLACK,,,,,45014,0,,
