web-scraper-order,web-scraper-start-url,vidse,vidse-href,name,thu,vid
"1710317182-1","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/ashlyn-malloy/4355/","Ginger chick is fucking with brunette","https://stream.nudezz.com/videos/9000/9245/13.jpg","https://stream.nudezz.com/secure/1710320778/Lmw6lpOsOrLeMmSlX2qgVg/9000/9245/480.mp4"
"1710317190-2","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/b/bree-daniels/100/","Tender blonde is having sensual solo","https://stream.nudezz.com/videos/1/102/08.jpg","https://stream.nudezz.com/secure/1710320782/O2n4ItRX19nzgyaVuY0VTg/1/102/480.mp4"
"1710317192-3","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/s/sicilia/441/","Sensual blonde is enjoying closeness on cam","https://stream.nudezz.com/videos/8000/8734/10.jpg","https://stream.nudezz.com/secure/1710320789/6U2EcIoZgxT1ZNsjGpVcUw/8000/8734/480.mp4"
"1710317195-4","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/c/connie-carter/4250/","Hot babe in black lingerie is masturbating","https://stream.nudezz.com/videos/9000/9319/05.jpg","https://stream.nudezz.com/secure/1710320791/5BUCx1GPLUWcI-HbOf6fNA/9000/9319/480.mp4"
"1710317197-5","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/v/victoria-love/352/","Hot brunette is showing solo skills gently","https://stream.nudezz.com/videos/1/390/07.jpg","https://stream.nudezz.com/secure/1710320794/IYEcHlinsesK00_0KO9CNA/1/390/480.mp4"
"1710317200-6","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/a/alexis-crystal/4357/","Blonde in white stockings gets fucked","https://stream.nudezz.com/videos/9000/9276/12.jpg","https://stream.nudezz.com/secure/1710320796/7LBA05CxmWM8mecz1jSmhg/9000/9276/480.mp4"
"1710317205-7","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/j/jessi-june/357/","Model in yellow pantiess is fucking chick","https://stream.nudezz.com/videos/1/583/12.jpg","https://stream.nudezz.com/secure/1710320799/3nlIDtcRu55FA5dLNzIycA/1/583/480.mp4"
"1710317208-8","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/k/kiara-lord/491/","Sweet blondes are sharing strong penis","https://stream.nudezz.com/videos/9000/9248/09.jpg","https://stream.nudezz.com/secure/1710320804/Ms5zLxeQnt8GY9GQTZ1duw/9000/9248/480.mp4"
"1710317211-9","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/g/giselle-leon/144/","Masseur is banging hot brunette","https://stream.nudezz.com/videos/1/150/07.jpg","https://stream.nudezz.com/secure/1710320807/hWqRhTNWKRZQVDtZsRGSXg/1/150/480.mp4"
"1710317213-10","https://www.errrotica.com/sites/babes/","","https://www.errrotica.com/w/whitney-westgate/348/","Busty brunette is enjoying sensual penetration","https://stream.nudezz.com/videos/1/386/11.jpg","https://stream.nudezz.com/secure/1710320810/nhAHFKcHD3SnTm1jDtIj6g/1/386/480.mp4"
